key,en,vi
UI_PLAY_CAMPAIGN,Play Campaign,Chơi Chiến dịch
UI_ENDLESS_MODE,Endless Mode,Chế độ Vô tận
UI_TOWER_LAB,Tower Lab,Phòng thí nghiệm Tháp
UI_SETTINGS,Settings,Cài đặt
UI_MAIN_MENU,Main Menu,Menu chính
UI_DIAMOND_SHOP,Diamond Shop,Cửa hàng Kim cương
UI_BACK,Back,Quay lại
UI_CONFIRM,Confirm,Xác nhận
UI_CANCEL,Cancel,Hủy
UI_PAUSE,Pause,Tạm dừng
UI_RESUME,Resume,Tiếp tục
UI_RESTART,Restart,Chơi lại
UI_QUIT_LEVEL,Quit Level,Thoát màn
UI_WAVE,Wave,Đợt
UI_GOLD,Gold,Vàng
UI_DIAMONDS,Diamonds,Kim cương
UI_VICTORY,Victory!,Chiến thắng!
UI_DEFEAT,Defeated!,Thất bại!
UI_STARS,Stars,Sao
UI_CONTINUE,Continue,Tiếp tục
UI_LOCKED,Locked,Đã khóa
UI_UNLOCK,Unlock,Mở khóa
UI_LEVEL_SELECT,Level Select,Chọn màn
UI_REGION,Region,Khu vực
UI_COMPLETED,Completed,Hoàn thành
TOWER_PULSE_CANNON,Pulse Cannon,Pháo Xung
TOWER_ARC_EMITTER,Arc Emitter,Pháo Hồ Quang
TOWER_CRYO_ARRAY,Cryo Array,Tháp Băng Giá
TOWER_MISSILE_POD,Missile Pod,Bệ Tên Lửa
TOWER_BEAM_SPIRE,Beam Spire,Tháp Tia Sáng
TOWER_NANO_HIVE,Nano Hive,Tổ Nano
TOWER_HARVESTER,Harvester,Tháp Thu Hoạch
DIFFICULTY_NORMAL,Normal,Bình thường
DIFFICULTY_HARD,Hard,Khó
DIFFICULTY_NIGHTMARE,Nightmare,Ác mộng
HUD_WAVE,Wave,Đợt
HUD_SEND_WAVE,Send Wave,Gọi đợt
HUD_SELL,Sell,Bán
HUD_UPGRADE,Upgrade,Nâng cấp
HUD_LIVES,Lives,Mạng
HUD_GOLD,Gold,Vàng
HUD_SPEED,Speed,Tốc độ
HUD_TARGETING,Targeting,Ngắm mục tiêu
TARGETING_NEAREST,Nearest,Gần nhất
TARGETING_STRONGEST,Strongest,Mạnh nhất
TARGETING_WEAKEST,Weakest,Yếu nhất
TARGETING_FIRST,First,Đầu tiên
TARGETING_LAST,Last,Cuối cùng
ENEMY_SCOUT,Scout,Trinh sát
ENEMY_DRONE,Drone,Drone
ENEMY_TANK,Tank,Xe tăng
ENEMY_FLYER,Flyer,Phi Cơ
ENEMY_SHIELDER,Shielder,Khiên Vệ
ENEMY_HEALER,Healer,Hồi Phục
STAR_RATING_1,1 Star,1 Sao
STAR_RATING_2,2 Stars,2 Sao
STAR_RATING_3,3 Stars,3 Sao
STAR_CONDITION_3,No lives lost,Không mất mạng nào
STAR_CONDITION_2,5 or fewer lives lost,Mất 5 mạng trở xuống
STAR_CONDITION_1,Complete the level,Hoàn thành màn chơi
ABILITY_ORBITAL_STRIKE,Orbital Strike,Không Kích Quỹ Đạo
ABILITY_EMP_BURST,EMP Burst,Nổ EMP
ABILITY_REPAIR_WAVE,Repair Wave,Sóng Hồi Phục
ABILITY_SHIELD_MATRIX,Shield Matrix,Lưới Khiên
ABILITY_OVERCLOCK,Overclock,Ép xung
ABILITY_SCRAP_SALVAGE,Scrap Salvage,Thu hồi Phế liệu
SETTINGS_MUSIC_VOLUME,Music Volume,Âm lượng Nhạc
SETTINGS_SFX_VOLUME,SFX Volume,Âm lượng Hiệu ứng
SETTINGS_DAMAGE_NUMBERS,Damage Numbers,Số sát thương
SETTINGS_RANGE_ON_HOVER,Show Range on Hover,Hiện tầm bắn khi rê chuột
SETTINGS_LANGUAGE,Language,Ngôn ngữ
GLOBAL_UPGRADES,Global Upgrades,Nâng cấp Toàn cục
SKILL_TREE,Skill Tree,Cây Kỹ năng
TIER,Tier {0},Cấp {0}
SELL_VALUE,Sell Value: {0},Giá bán: {0}
ENDLESS_RESISTANCE,Resistance Active,Kháng Cự Đang Hoạt Động
ADS_REMAINING,Watch Ad (+{2} ◆) — {0}/{1} left today,Xem QC (+{2} ◆) — còn {0}/{1} hôm nay
WATCH_AD,Watch Ad (+{0} Diamonds),Xem quảng cáo (+{0} Kim cương)
NO_ADS,Remove Ads,Xóa quảng cáo
DIAMOND_DOUBLER,Diamond Doubler,Nhân đôi Kim cương
UI_PURCHASED,Purchased,Đã mua
SPEED_X2,x2 Speed,Tốc độ x2
SPEED_X3,x3 Speed,Tốc độ x3
TOAST_UNLOCK_X2,x2 Speed can be unlocked in Diamond Shop,Tốc độ x2 có thể mở khóa trong Cửa hàng Kim cương
TOAST_UNLOCK_X3,x3 Speed can be unlocked in Diamond Shop,Tốc độ x3 có thể mở khóa trong Cửa hàng Kim cương
TOAST_TAP_TO_TARGET,Tap to select target,Chạm để chọn mục tiêu
UI_DAILY_CHALLENGE,Daily Challenge,Thử thách Hàng ngày
UI_CONFIRM_QUIT,Are you sure you want to quit?,Bạn có chắc muốn thoát?
UI_ENEMIES_KILLED,Enemies Killed,Kẻ địch đã hạ
UI_GOLD_EARNED,Gold Earned,Vàng kiếm được
UI_WAVE_REACHED,Wave Reached,Đợt đã đạt
UI_YES,Yes,Có
UI_NO,No,Không
DAILY_CHALLENGE,Daily Challenge,Thử thách Hàng ngày
DAILY_COMPLETED,Completed,Đã hoàn thành
DAILY_PLAY,Play,Chơi
SETTINGS_FULLSCREEN,Fullscreen,Toàn màn hình
SIGNAL_DECODE_PROMPT,Memorize for:,Ghi nhớ để nhận:
SIGNAL_DECODE_SUCCESS,Signal decoded!,Giải mã thành công!
SIGNAL_DECODE_FAIL,Decoding failed!,Giải mã thất bại!
SIGNAL_DECODE_REWARD_DAMAGE,damage,sát thương
SIGNAL_DECODE_REWARD_LIFE,life,mạng
SYNERGY_DISCOVERED,Synergy Discovered,Phát hiện Hiệp lực
TOAST_PLACEMENT_BLOCKED,Position occupied!,Vị trí đã bị chiếm!
TOAST_NOT_ENOUGH_GOLD,Not enough gold!,Không đủ vàng!
TOAST_RESISTANCE_RISING,THE CONVERGENCE ADAPTS — {0} resistance increasing,SỰ HỘI TỤ THÍCH NGHI — Kháng {0} tăng
TOAST_RESISTANCE_FALLING,THE CONVERGENCE DESTABILIZES — {0} resistance fading,SỰ HỘI TỤ MẤT ỔN ĐỊNH — Kháng {0} giảm
UI_SYNERGIES,Synergies,Hiệp lực
UI_SYNERGY_UNDISCOVERED,???,???
UI_RESISTANCE,Resistance,Kháng cự
HUD_STAT_DAMAGE,Damage,Sát thương
HUD_STAT_FIRE_RATE,Fire Rate,Tốc độ bắn
HUD_STAT_RANGE,Range,Tầm bắn
HUD_FULLY_UPGRADED,Fully upgraded,Đã nâng cấp tối đa
HUD_UPGRADES,UPGRADES,NÂNG CẤP
HUD_LEVEL_STATS,Level Stats,Thống kê Màn chơi
HUD_SIGNAL_INTERCEPTED,SIGNAL INTERCEPTED,TÍN HIỆU BỊ CHẶN
HUD_CHOOSE_BUFF,Choose a buff,Chọn một tăng cường
HUD_CHOOSE,Choose,Chọn
SIGNAL_DECODE_INPUT_PROMPT,Now tap it back!,Giờ chạm lại theo thứ tự!
UI_REGIONS,REGIONS,KHU VỰC
UI_DIFFICULTY,DIFFICULTY,ĐỘ KHÓ
UI_PROGRESS_COMPLETED,{0} / {1} completed,{0} / {1} hoàn thành
UI_BEST_VALUE,Best Value,Giá trị tốt nhất
UI_DOUBLE_DIAMONDS,x2 Diamonds (Watch Ad),x2 Kim cương (Xem QC)
UI_DOUBLED,x2 Doubled!,x2 Đã nhân đôi!
SHOP_CONFIRM_SPEED_X2,Unlock x2 Speed for {0} diamonds?,Mở khóa Tốc độ x2 với {0} kim cương?
